"newID","Cottus_ab","LND_ab","SRD_ab","avdep","avgT","mFlow","pctcbbl","pctfines","boulder","elev_m","Area_km2","HAiFLS_for","med_len","BRT_100m","BRT","Cottus_CPUE","LND_CPUE","SRD_CPUE","SegLen"
"LMAQ_48",0,0,0,0.150555555555556,15.5823527918198,0.172777777777778,59.375,12.5,1.33333333333333,252.270355225,2.98336248416,85.8652039,0,0,0,0,0,0,300
"LMAQ_10",0,0,0,0.131724137931035,13.025909034034,0.19,70.3703703703704,22.2222222222222,1.91666666666667,209.607467651,3.2726335932,64.7364883,0,0,0,0,0,0,183
"LMAQ_17",277,2,2,0.237234042553192,15.5823527918198,0.176382978723404,80.9523809523809,16.6666666666667,1.25,230.839279175,7.56569143557,59.9917831,137,1,1,92.3333333333333,0.666666666666667,0.666666666666667,300
"LMAQ_28b",0,0,1,0.239411764705882,15.5357646396396,0.0858823529411765,23.5294117647059,61.7647058823529,0,286.88772583,5.43055890752,1.7467092,0,0,0,0,0,0.641025641025641,156
"LMAQ_24",0,0,0,0.244761904761905,14.9738338338338,0.146190476190476,85,7.5,0.5,278.581817627,5.74362079296,58.1847878,208,9.33333333333333,1,0,0,0,300
"LMAQ_61",0,20,0,0.296304347826087,19.0837743993994,0.181086956521739,73.9130434782609,19.5652173913043,1.83333333333333,195.553909302,17.7468156394,44.912468,225,0.303030303030303,1,0,6.06060606060606,0,330
"UPI_23",0,0,0,0.241578947368421,14.2132395833333,0.304473684210526,5.26315789473684,86.8421052631579,0,355.519439697,9.22708263311,3.3422244,0,0,0,0,0,0,180
"UPI_25",0,0,4,0.385744680851064,13.4407482638889,0.233404255319149,19.1489361702128,46.8085106382979,0,372.933929443,15.6901561644,0.3393331,0,0,0,0,0,1.02564102564103,390
"UPI_28",2,3,0,0.27,15.6670844907407,0.28468085106383,87.2340425531915,10.6382978723404,0.5,268.602935791,24.2131372692,12.1601791,252,0.666666666666667,1,0.444444444444444,0.666666666666667,0,450
"UPI_70",2,0,0,0.18875,15.779494212963,0.120416666666667,51.1627906976744,46.5116279069767,0.916666666666667,228.271286011,10.6732240441,62.1048622,84.5,0.740740740740741,1,0.740740740740741,0,0,270
"UPI_73",243,0,0,0.255208333333333,12.309359375,0.197083333333333,64.5833333333333,16.6666666666667,0.833333333333333,250.276412964,14.0322953929,40.6795349,278,14.0804597701149,1,69.8275862068966,0,0,348
"UPI_78",0,0,0,0.149375,16.5082459490741,0.360208333333333,17.0212765957447,76.5957446808511,0.0833333333333333,203.414932251,14.7407404036,74.7585602,223,0.666666666666667,1,0,0,0,450
"UPI_78b",0,0,0,0.114117647058824,9.78940277777778,0.251176470588235,35.2941176470588,44.1176470588235,0,201.459213257,2.66039408868,93.3640213,86,0.666666666666667,1,0,0,0,150
"UPI_112",0,2,7,0.275208333333333,19.4633078703704,0.217708333333333,52.0833333333333,31.25,0,328.634887695,8.88046126633,3.1159301,0,0,0,0,0.757575757575758,2.65151515151515,264
"UPI_151",1,0,0,0.271458333333333,14.8809108796296,0.536041666666667,83.3333333333333,8.33333333333333,0.583333333333333,281.376556396,4.97558556567,13.1353903,252,10,1,0.222222222222222,0,0,450
"UPI_153",125,0,0,0.604375,9.67833333333333,0.167083333333333,22.9166666666667,75,0.0833333333333333,320.803283691,0.0682363218789,99.8813248,0,0,0,49.6031746031746,0,0,252
"UPI_165",0,0,16,0.344791666666667,15.5823527918198,0.334791666666667,27.6595744680851,42.5531914893617,0.25,355.164337,28.8615,1.911236,0,0,0,0,0,5.33333333333333,300
"YEL_5",0,0,0,0.135652173913043,18.6415868055556,0.139782608695652,17.7777777777778,62.2222222222222,0.5,351.673126221,1.44516003834,0,0,0,0,0,0,0,168
"YEL_9",0,2,204,0.233043478260869,17.750494212963,0.246739130434783,66.6666666666667,29.1666666666667,0.833333333333333,336.265991211,0.729898588992,1.7673345,0,0,0,0,0.444444444444444,45.3333333333333,450
"YEL_21",0,0,0,0.103333333333333,16.6641961805556,0.0523076923076923,35.8974358974359,43.5897435897436,0.0833333333333333,350.61920166,1.87547622779,67.9425278,0,0,0,0,0,0,150
"YEL_24",0,0,0,0.23375,16.0172494212963,0.169791666666667,66.6666666666667,6.25,1.41666666666667,309.253967285,6.97618309716,9.9703712,311,4.44444444444444,1,0,0,0,270
"YEL_28",0,0,0,0.21,14.8698634259259,0.282083333333333,87.5,4.16666666666667,0,255.845504761,3.18653755318,14.0129747,211,37.6666666666667,1,0,0,0,300
"YEL_37",0,0,0,0.189166666666667,15.2212928240741,0.161666666666667,17.3913043478261,73.9130434782609,0,331.358306885,2.01959238495,0.2349563,0,0,0,0,0,0,150
"YEL_42",0,0,0,0.168541666666667,14.7905277777778,0.39375,75,0,0.75,305.134613037,8.86002082454,18.1296501,77,6.22222222222222,1,0,0,0,450
"YEL_44",0,0,39,0.271219512195122,16.3923460648148,0.13390243902439,17.0731707317073,56.0975609756098,0.5,308.568267822,12.9499138289,4.1289063,0,0,0,0,0,14.1304347826087,276
"YEL_49",0,51,1,0.242916666666667,19.0030046296296,0.497708333333333,72.3404255319149,0,1.16666666666667,282.240539551,6.49866735699,8.8935728,303,1.14155251141552,1,0,11.6438356164384,0.228310502283105,438
"YEL_50",0,31,1,0.240444444444444,15.7699137731481,0.195777777777778,40,33.3333333333333,0.5,229.182983398,5.70962927095,80.3038635,88,1.11111111111111,1,0,17.2222222222222,0.555555555555556,180
"YEL_53",0,0,0,0.200833333333333,16.4255787037037,0.175,41.6666666666667,50,0.3,358.93157959,1.51424420528,0.0009706,0,0,0,0,0,0,150
"YEL_54",0,63,65,0.415,19.2812181712963,0.382916666666667,12.5,50,1.33333333333333,316.538848877,12.2652371574,8.2976236,0,0,0,0,14,14.4444444444444,450
"YEL_58",0,14,2,0.341041666666667,19.231197337963,0.289166666666667,20.8333333333333,72.9166666666667,0,302.121459961,11.9135198359,21.3140755,351,0.888888888888889,1,0,3.11111111111111,0.444444444444444,450
"YEL_72",0,0,0,0.148409090909091,15.2368478009259,0.245454545454545,76.7441860465116,13.953488372093,1.16666666666667,256.013763428,1.60884169569,39.1107292,72.5,11.1111111111111,1,0,0,0,180
"YEL_81",0,0,0,0.302127659574468,16.7385653935185,0.423191489361702,59.5744680851064,17.0212765957447,0.666666666666667,318.268341064,13.2298939176,0.3145927,307,4.16666666666667,1,0,0,0,384
"YEL_85",0,0,13,0.309347826086957,19.0899137731481,0.224782608695652,30.4347826086957,52.1739130434783,0.75,316.749755859,9.10658526881,7.4326973,0,0,0,0,0,4.81481481481481,270
"YEL_89",0,0,0,0.209583333333333,14.4191811342593,0.214583333333333,45.8333333333333,37.5,0.166666666666667,346.234710693,2.03906312991,4.64e-05,0,0,0,0,0,0,174
"YEL_97b",0,0,0,0.188958333333333,12.7577881944444,0.374583333333333,75,4.16666666666667,1.08333333333333,265.028991699,10.2905916049,13.8561373,69,96.1432506887052,1,0,0,0,363
"YEL_106",0,0,2,0.162916666666667,15.5002679398148,0.162916666666667,36.1702127659575,57.4468085106383,0.0833333333333333,305.349578857,4.26408492986,15.5419941,0,0,0,0,0,0.716845878136201,279
"YEL_109",0,0,0,0.243333333333333,13.6021793981481,0.0975,14.5833333333333,79.1666666666667,0.0833333333333333,355.553833008,1.51470173485,0.2115441,0,0,0,0,0,0,201
"YEL_118",0,3,2,0.247826086956522,14.9940474537037,0.0982608695652174,28.8888888888889,51.1111111111111,0.666666666666667,273.477325439,8.00141551335,17.2362919,0,0,0,0,1.44927536231884,0.966183574879227,207
"YEL_118b",0,3,0,0.199166666666667,14.0297627314815,0.235416666666667,47.8260869565217,45.6521739130435,0.416666666666667,270.825012207,4.19627000935,11.4105396,52,4.16666666666667,1,0,0.961538461538462,0,312
"YEL_121",0,0,0,0.117241379310345,16.2466984953704,0.214827586206897,44.8275862068966,34.4827586206897,0.0833333333333333,340.133026123,0.930192977411,1.9770584,0,0,0,0,0,0,150
